,name,rating,reviews,salaries,jobs,ctypes,rated_for
2449,NKG Infrastructure,3.7,276,1.4k,--,Engineering & Construction | 1k-5k Employees | 34 years old | Delhi/NCR +36 more,
2450,Thales,4.0,276,2.4k,33,IT Services & Consulting | 1k-5k Employees | Forbes Global 2000 | 23 years old | Noida +16 more,"Work Life Balance, Job Security, Salary & Benefits"
2451,RSPL GHARI DETERGENT,4.1,276,865,--,FMCG | 501-1k Employees | 36 years old | Kanpur +61 more,"Job Security, Skill Development / Learning, Work Life Balance"
2452,Kerala State Electricity Board,4.2,275,1.4k,--,Power | 10k-50k Employees | State | 66 years old | Trivandrum/Thiruvananthapuram +25 more,"Work Life Balance, Work Satisfaction, Skill Development / Learning"
2453,BPTP,4.3,275,1.2k,2,Real Estate | 501-1k Employees | 20 years old | Gurgaon/Gurugram +4 more,"Work Life Balance, Job Security, Company Culture"
2454,Continental Engines,4.0,275,1.5k,1,Auto Components | 10k-50k Employees | 40 years old | New Delhi +25 more,"Skill Development / Learning, Job Security"
2455,Ryan,4.4,275,990,20,Accounting & Auditing | 501-1k Employees | 32 years old | Dallas +3 more,"Job Security, Company Culture, Work Life Balance"
2456,Akumentis Healthcare,3.6,275,747,4,Healthcare | 1k-5k Employees | 13 years old | Thane +41 more,
2457,ACG Associated Capsules,3.9,275,1.3k,31,Pharma | 1k-5k Employees | 59 years old | Mumbai +14 more,"Skill Development / Learning, Salary & Benefits"
2458,Vasan Eye Care Hospitals,3.9,275,650,20,Healthcare | 5k-10k Employees | 21 years old | Chennai +66 more,"Company Culture, Job Security, Work Satisfaction"
2459,MathCo,2.7,275,1.5k,19,Emerging Technologies | 1k-5k Employees | Startup | 7 years old | Bangalore +4 more,"Job Security, Work Life Balance, Work Satisfaction"
2460,Hashedin By Deloitte,4.3,274,2.3k,12,IT Services & Consulting | 1k-5k Employees | 13 years old | Santa Clara +10 more,"Company Culture, Job Security, Skill Development / Learning"
2461,Lafarge,4.1,274,645,4,Building Material | 201-500 Employees | 190 years old | Paris +74 more,"Job Security, Skill Development / Learning, Company Culture"
2462,TIBCO Software,3.9,274,3.7k,10,Software Product | 1k-5k Employees | 26 years old | Palo Alto +7 more,"Work Life Balance, Company Culture"
